mac_known,role,login_hour,failed_attempts,login_frequency,access_decision
1,Student,6,6,2,Blocked
1,Student,7,1,9,Allowed
0,Faculty,23,2,10,Blocked
0,Faculty,17,7,9,Blocked
0,Student,8,3,8,Blocked
1,Guest,12,3,10,Blocked
1,Student,21,3,6,Blocked
1,Guest,21,6,4,Blocked
1,Student,20,6,5,Blocked
0,Student,6,7,3,Blocked
0,Guest,8,6,9,Blocked
0,Student,18,4,2,Blocked
1,Faculty,13,6,1,Blocked
1,Student,16,2,6,Restricted
1,Guest,17,7,7,Blocked
0,Faculty,9,0,1,Blocked
0,Faculty,23,6,5,Blocked
0,Guest,11,0,7,Blocked
1,Faculty,4,1,3,Allowed
0,Guest,12,6,10,Blocked
1,Guest,13,0,2,Allowed
1,Student,20,5,2,Blocked
1,Student,22,6,3,Blocked
0,Faculty,9,2,8,Blocked
0,Guest,4,5,1,Blocked
1,Guest,10,4,10,Blocked
1,Guest,5,4,6,Blocked
0,Faculty,19,0,4,Blocked
0,Student,21,1,7,Blocked
0,Faculty,16,0,9,Blocked
0,Faculty,22,7,1,Blocked
0,Guest,0,0,1,Blocked
0,Student,17,7,1,Blocked
1,Student,6,3,1,Blocked
0,Student,7,6,2,Blocked
1,Faculty,19,5,10,Blocked
0,Guest,0,1,2,Blocked
1,Student,18,1,5,Allowed
0,Guest,14,1,9,Blocked
0,Student,15,0,10,Blocked
1,Guest,2,4,5,Blocked
0,Faculty,7,7,7,Blocked
1,Faculty,6,5,1,Blocked
1,Faculty,6,3,2,Blocked
1,Student,20,1,5,Allowed
0,Guest,7,2,8,Blocked
1,Faculty,12,5,6,Blocked
0,Faculty,9,0,6,Blocked
0,Student,2,4,10,Blocked
0,Guest,5,4,3,Blocked
1,Faculty,3,6,6,Blocked
0,Guest,9,2,9,Blocked
0,Faculty,2,6,8,Blocked
1,Guest,5,7,4,Blocked
0,Faculty,6,5,8,Blocked
0,Faculty,3,0,7,Blocked
1,Student,5,2,8,Restricted
0,Faculty,1,1,10,Blocked
0,Faculty,3,3,2,Blocked
1,Student,15,1,5,Allowed
0,Faculty,17,0,7,Blocked
1,Student,9,4,6,Blocked
0,Student,15,6,9,Blocked
1,Guest,15,7,2,Blocked
1,Guest,21,7,5,Blocked
0,Guest,11,3,4,Blocked
1,Guest,14,3,9,Blocked
1,Guest,10,4,5,Blocked
0,Student,23,3,5,Blocked
0,Student,0,5,9,Blocked
0,Faculty,23,1,10,Blocked
0,Guest,17,5,10,Blocked
1,Guest,19,2,9,Restricted
1,Student,21,3,5,Blocked
1,Guest,14,3,1,Blocked
0,Student,8,1,4,Blocked
1,Student,2,0,7,Restricted
1,Student,12,1,4,Allowed
1,Guest,17,7,7,Blocked
0,Student,13,0,8,Blocked
0,Guest,1,5,10,Blocked
0,Student,12,5,8,Blocked
1,Student,19,7,4,Blocked
0,Student,19,4,3,Blocked
1,Faculty,17,6,4,Blocked
1,Student,14,2,9,Restricted
0,Faculty,0,5,6,Blocked
0,Student,11,5,9,Blocked
1,Faculty,2,4,5,Blocked
0,Student,3,1,9,Blocked
1,Guest,21,1,3,Allowed
0,Student,23,6,6,Blocked
0,Guest,17,4,6,Blocked
0,Student,4,3,10,Blocked
1,Guest,0,7,3,Blocked
1,Faculty,16,0,8,Allowed
0,Guest,20,2,4,Blocked
1,Guest,2,5,6,Blocked
0,Faculty,5,1,6,Blocked
1,Guest,0,4,7,Blocked
1,Guest,8,5,6,Blocked
0,Student,22,2,3,Blocked
1,Faculty,0,1,7,Allowed
0,Student,16,4,8,Blocked
0,Student,4,5,8,Blocked
1,Student,7,5,3,Blocked
1,Guest,17,6,6,Blocked
0,Guest,8,1,5,Blocked
0,Faculty,5,5,1,Blocked
1,Student,18,7,7,Blocked
0,Faculty,13,4,5,Blocked
1,Guest,15,5,10,Blocked
0,Student,2,0,1,Blocked
0,Guest,16,6,6,Blocked
0,Faculty,23,5,5,Blocked
1,Faculty,9,7,1,Blocked
0,Faculty,6,7,1,Blocked
0,Faculty,11,0,7,Blocked
1,Faculty,2,6,3,Blocked
1,Student,12,3,2,Blocked
1,Guest,8,6,10,Blocked
1,Guest,20,0,8,Allowed
0,Guest,21,2,8,Blocked
1,Student,14,6,7,Blocked
0,Guest,2,2,2,Blocked
1,Student,6,1,9,Allowed
0,Faculty,9,4,7,Blocked
1,Faculty,12,5,8,Blocked
0,Guest,5,4,2,Blocked
1,Faculty,8,2,6,Restricted
1,Faculty,20,1,10,Allowed
0,Faculty,21,6,5,Blocked
0,Faculty,23,3,9,Blocked
1,Student,14,6,6,Blocked
1,Student,1,5,1,Blocked
1,Faculty,2,0,2,Restricted
1,Faculty,2,7,2,Blocked
1,Faculty,1,3,9,Blocked
0,Faculty,22,2,10,Blocked
0,Student,8,5,10,Blocked
1,Guest,5,2,4,Blocked
1,Student,11,3,4,Blocked
0,Student,21,4,10,Blocked
0,Student,22,7,5,Blocked
0,Guest,21,2,8,Blocked
0,Student,2,7,1,Blocked
1,Guest,6,6,8,Blocked
1,Guest,8,7,8,Blocked
1,Faculty,17,7,5,Blocked
0,Student,11,3,9,Blocked
1,Guest,12,0,10,Allowed
0,Guest,21,5,1,Blocked
1,Faculty,4,0,7,Restricted
1,Faculty,10,0,4,Allowed
1,Faculty,2,3,1,Blocked
0,Faculty,18,5,4,Blocked
1,Student,16,5,4,Blocked
1,Faculty,8,0,1,Allowed
0,Guest,21,3,6,Blocked
0,Student,21,4,10,Blocked
1,Student,2,3,3,Blocked
0,Student,13,7,8,Blocked
0,Faculty,3,2,2,Blocked
0,Faculty,19,1,8,Blocked
1,Guest,2,5,5,Blocked
0,Guest,15,0,10,Blocked
1,Faculty,19,6,4,Blocked
0,Guest,16,2,3,Blocked
1,Faculty,3,0,6,Restricted
0,Student,20,7,8,Blocked
1,Student,21,6,5,Blocked
0,Student,20,4,5,Blocked
1,Faculty,20,2,6,Restricted
1,Faculty,1,5,6,Blocked
1,Guest,6,4,2,Blocked
1,Student,13,6,9,Blocked
0,Guest,18,2,7,Blocked
0,Faculty,6,5,7,Blocked
0,Faculty,23,3,10,Blocked
1,Guest,18,5,8,Blocked
1,Faculty,9,1,6,Allowed
1,Guest,8,6,6,Blocked
1,Student,4,0,2,Restricted
1,Student,6,5,9,Blocked
1,Guest,10,3,8,Blocked
1,Guest,9,2,9,Restricted
0,Guest,20,7,4,Blocked
1,Student,9,2,8,Restricted
0,Guest,23,0,7,Blocked
0,Student,23,1,2,Blocked
0,Faculty,17,7,6,Blocked
0,Guest,21,3,2,Blocked
0,Student,5,4,2,Blocked
1,Student,18,1,3,Allowed
1,Student,12,1,7,Allowed
0,Faculty,13,5,4,Blocked
0,Guest,13,5,8,Blocked
1,Student,14,0,6,Allowed
1,Guest,12,5,7,Blocked
1,Student,14,0,10,Allowed
1,Faculty,1,0,8,Restricted
0,Student,12,4,5,Blocked
0,Faculty,14,0,6,Blocked
1,Guest,9,1,2,Restricted
1,Faculty,5,2,3,Restricted
1,Student,18,6,8,Blocked
0,Student,20,3,3,Blocked
0,Student,16,4,4,Blocked
1,Student,19,1,9,Allowed
1,Student,19,1,1,Allowed
1,Guest,12,0,4,Allowed
0,Student,16,0,9,Blocked
0,Student,21,2,6,Blocked
1,Student,12,1,8,Allowed
1,Faculty,5,5,7,Blocked
0,Student,20,1,7,Blocked
0,Faculty,12,1,8,Blocked
0,Guest,9,0,5,Blocked
0,Guest,7,5,4,Blocked
1,Guest,15,0,1,Allowed
1,Student,5,3,10,Blocked
1,Faculty,5,3,6,Blocked
0,Guest,22,1,8,Blocked
1,Student,22,7,4,Blocked
1,Student,16,2,2,Restricted
1,Faculty,14,2,3,Restricted
1,Student,6,6,6,Blocked
0,Student,16,3,9,Blocked
0,Student,19,3,6,Blocked
0,Guest,17,6,1,Blocked
1,Student,3,1,2,Allowed
0,Student,16,7,9,Blocked
0,Student,5,0,1,Blocked
0,Student,20,2,5,Blocked
0,Student,21,3,7,Blocked
1,Guest,22,2,10,Restricted
1,Student,7,3,8,Blocked
1,Student,7,3,9,Blocked
0,Faculty,21,2,1,Blocked
1,Student,17,2,1,Restricted
0,Student,20,4,5,Blocked
0,Faculty,14,3,10,Blocked
1,Guest,17,0,6,Allowed
0,Guest,4,3,5,Blocked
0,Guest,9,3,7,Blocked
0,Faculty,1,4,9,Blocked
0,Student,11,5,2,Blocked
1,Guest,18,0,4,Allowed
1,Faculty,21,7,2,Blocked
0,Faculty,11,2,5,Blocked
0,Guest,0,2,4,Blocked
1,Student,12,7,4,Blocked
0,Guest,16,6,10,Blocked
0,Guest,8,0,3,Blocked
0,Guest,16,6,4,Blocked
0,Student,8,4,6,Blocked
0,Guest,13,5,2,Blocked
0,Guest,2,5,1,Blocked
0,Student,20,7,3,Blocked
1,Student,15,0,10,Allowed
0,Guest,17,3,1,Blocked
1,Guest,20,4,5,Blocked
0,Guest,11,4,6,Blocked
1,Faculty,14,4,4,Blocked
0,Faculty,1,1,7,Blocked
0,Student,0,5,5,Blocked
0,Faculty,11,4,3,Blocked
1,Guest,0,7,3,Blocked
0,Guest,16,2,7,Blocked
0,Faculty,15,0,7,Blocked
1,Guest,7,4,9,Blocked
1,Guest,10,3,5,Blocked
0,Guest,4,5,10,Blocked
1,Guest,22,2,7,Restricted
1,Student,15,4,2,Blocked
0,Student,3,7,1,Blocked
1,Student,22,1,7,Allowed
1,Faculty,15,1,9,Allowed
1,Guest,12,0,9,Allowed
0,Faculty,13,4,5,Blocked
0,Faculty,19,2,1,Blocked
1,Guest,16,4,6,Blocked
1,Guest,20,1,2,Allowed
1,Faculty,3,1,6,Allowed
0,Guest,10,6,6,Blocked
1,Guest,16,5,9,Blocked
0,Faculty,1,5,3,Blocked
0,Guest,3,6,6,Blocked
1,Student,6,6,8,Blocked
1,Faculty,22,7,10,Blocked
1,Faculty,8,0,8,Allowed
0,Faculty,10,1,5,Blocked
1,Faculty,9,5,5,Blocked
0,Faculty,9,2,2,Blocked
1,Faculty,14,3,6,Blocked
0,Faculty,9,5,7,Blocked
1,Faculty,2,7,10,Blocked
1,Faculty,4,0,8,Restricted
1,Student,11,5,5,Blocked
1,Guest,21,2,1,Restricted
1,Guest,12,6,7,Blocked
0,Guest,2,4,6,Blocked
1,Guest,16,3,8,Blocked
1,Faculty,15,3,3,Blocked
0,Student,8,5,10,Blocked
0,Guest,12,1,3,Blocked
1,Faculty,13,5,5,Blocked
1,Faculty,9,0,2,Allowed
1,Faculty,20,0,5,Allowed
1,Faculty,7,1,9,Allowed
0,Student,2,1,5,Blocked
1,Student,15,6,10,Blocked
0,Faculty,22,5,4,Blocked
0,Student,13,7,1,Blocked
1,Faculty,4,7,2,Blocked
1,Student,10,6,10,Blocked
1,Guest,7,3,8,Blocked
0,Student,20,7,4,Blocked
1,Faculty,13,5,4,Blocked
0,Student,11,4,5,Blocked
0,Guest,12,7,4,Blocked
1,Faculty,8,4,9,Blocked
1,Faculty,14,2,9,Restricted
0,Student,0,2,4,Blocked
0,Student,15,5,2,Blocked
1,Faculty,20,0,8,Allowed
0,Guest,12,3,6,Blocked
0,Guest,12,6,3,Blocked
0,Student,1,5,4,Blocked
0,Guest,4,2,3,Blocked
1,Student,13,1,5,Allowed
1,Guest,5,7,10,Blocked
0,Guest,12,2,8,Blocked
1,Student,18,1,8,Allowed
1,Faculty,2,4,5,Blocked
1,Faculty,3,2,7,Blocked
0,Student,15,3,6,Blocked
0,Guest,11,6,7,Blocked
0,Faculty,4,2,7,Blocked
0,Guest,0,5,3,Blocked
1,Faculty,22,2,8,Restricted
1,Student,9,2,3,Restricted
1,Student,5,0,5,Restricted
1,Faculty,19,4,2,Blocked
0,Student,12,7,8,Blocked
1,Faculty,20,2,8,Restricted
0,Faculty,3,4,4,Blocked
0,Faculty,8,6,3,Blocked
1,Student,4,0,6,Restricted
0,Faculty,2,2,1,Blocked
0,Guest,23,4,4,Blocked
0,Faculty,11,0,7,Blocked
0,Faculty,15,2,5,Blocked
1,Faculty,5,4,2,Blocked
1,Faculty,4,5,6,Blocked
1,Faculty,11,0,10,Allowed
1,Faculty,21,2,7,Restricted
0,Guest,17,2,1,Blocked
1,Faculty,22,2,1,Restricted
0,Guest,9,3,1,Blocked
1,Student,2,4,1,Blocked
1,Faculty,10,3,1,Blocked
1,Student,4,1,8,Allowed
1,Student,12,4,5,Blocked
0,Faculty,12,1,10,Blocked
1,Guest,11,5,6,Blocked
1,Student,17,0,3,Allowed
0,Guest,20,3,8,Blocked
1,Guest,20,6,6,Blocked
0,Guest,23,1,1,Blocked
1,Student,10,3,1,Blocked
0,Faculty,10,0,1,Blocked
0,Faculty,15,4,2,Blocked
0,Guest,20,2,8,Blocked
0,Guest,13,6,2,Blocked
1,Student,11,5,8,Blocked
1,Guest,5,1,10,Blocked
1,Faculty,14,4,8,Blocked
0,Student,4,0,8,Blocked
1,Faculty,15,2,4,Restricted
1,Faculty,2,3,6,Blocked
1,Guest,6,0,7,Allowed
1,Student,20,0,6,Allowed
1,Guest,18,6,9,Blocked
0,Faculty,5,1,7,Blocked
0,Faculty,3,1,6,Blocked
0,Student,0,7,7,Blocked
1,Guest,15,5,9,Blocked
1,Guest,16,0,1,Allowed
0,Guest,10,0,6,Blocked
0,Faculty,15,4,9,Blocked
1,Student,18,3,7,Blocked
1,Guest,3,4,4,Blocked
0,Student,22,7,7,Blocked
1,Guest,17,4,1,Blocked
0,Guest,12,4,5,Blocked
1,Guest,13,6,9,Blocked
0,Faculty,7,4,6,Blocked
0,Student,1,5,2,Blocked
0,Guest,22,4,7,Blocked
0,Faculty,12,6,2,Blocked
1,Guest,21,7,1,Blocked
1,Guest,6,3,3,Blocked
1,Student,7,2,5,Restricted
1,Student,15,7,5,Blocked
1,Guest,3,2,1,Blocked
0,Faculty,18,5,6,Blocked
0,Faculty,11,0,10,Blocked
1,Student,19,1,10,Allowed
1,Student,9,6,5,Blocked
1,Guest,22,2,6,Restricted
1,Faculty,4,4,8,Blocked
0,Guest,15,1,3,Blocked
0,Guest,14,4,4,Blocked
1,Guest,0,5,8,Blocked
0,Guest,8,6,10,Blocked
1,Guest,6,7,9,Blocked
0,Guest,14,0,6,Blocked
1,Student,0,2,5,Restricted
0,Faculty,21,5,10,Blocked
1,Student,22,0,7,Restricted
0,Faculty,13,7,2,Blocked
1,Student,20,2,7,Restricted
1,Guest,5,3,3,Blocked
1,Student,11,3,7,Blocked
1,Guest,8,4,9,Blocked
0,Student,11,5,4,Blocked
1,Guest,1,5,1,Blocked
0,Student,14,4,10,Blocked
0,Faculty,0,4,8,Blocked
1,Student,20,6,4,Blocked
1,Faculty,19,1,4,Allowed
1,Guest,0,2,8,Blocked
0,Faculty,15,0,10,Blocked
0,Student,7,1,7,Blocked
1,Student,21,7,9,Blocked
0,Student,3,7,8,Blocked
1,Student,5,2,5,Restricted
1,Guest,20,7,7,Blocked
0,Student,11,1,2,Blocked
0,Faculty,15,0,6,Blocked
1,Faculty,6,5,8,Blocked
0,Student,21,4,4,Blocked
1,Faculty,13,4,4,Blocked
1,Faculty,17,1,10,Allowed
0,Student,15,3,7,Blocked
1,Student,7,0,1,Allowed
0,Faculty,14,2,6,Blocked
1,Guest,10,0,2,Allowed
1,Guest,7,2,2,Restricted
1,Student,2,6,6,Blocked
0,Student,14,0,8,Blocked
0,Student,6,4,4,Blocked
0,Faculty,2,1,2,Blocked
0,Guest,12,7,10,Blocked
1,Student,20,7,6,Blocked
1,Guest,21,3,5,Blocked
1,Faculty,0,2,9,Restricted
1,Guest,9,4,8,Blocked
0,Student,23,0,2,Blocked
0,Guest,22,6,4,Blocked
0,Guest,15,0,7,Blocked
1,Student,18,5,8,Blocked
0,Faculty,4,6,3,Blocked
0,Guest,8,6,9,Blocked
1,Student,13,0,3,Allowed
0,Faculty,12,6,10,Blocked
0,Faculty,21,1,8,Blocked
0,Student,8,1,5,Blocked
0,Student,19,1,2,Blocked
0,Guest,3,0,9,Blocked
0,Faculty,4,6,1,Blocked
0,Student,15,0,1,Blocked
0,Student,22,0,3,Blocked
0,Guest,0,4,7,Blocked
0,Guest,19,6,7,Blocked
1,Student,23,0,6,Restricted
0,Faculty,3,5,10,Blocked
0,Student,11,2,7,Blocked
0,Student,14,3,6,Blocked
0,Guest,2,7,10,Blocked
0,Faculty,1,6,10,Blocked
1,Student,4,3,2,Blocked
1,Student,9,5,10,Blocked
0,Guest,12,0,2,Blocked
1,Faculty,10,7,3,Blocked
0,Guest,4,6,4,Blocked
0,Faculty,10,1,8,Blocked
0,Student,11,6,2,Blocked
1,Faculty,20,4,1,Blocked
1,Student,6,2,6,Restricted
1,Student,0,3,7,Blocked
0,Faculty,0,0,1,Blocked
1,Faculty,17,0,4,Allowed
0,Guest,0,4,9,Blocked
0,Faculty,21,7,2,Blocked
1,Guest,23,1,10,Allowed
1,Faculty,17,1,4,Allowed
0,Faculty,14,1,9,Blocked
0,Faculty,0,4,4,Blocked
0,Faculty,19,7,10,Blocked
1,Guest,5,7,5,Blocked
1,Faculty,8,2,7,Restricted
1,Student,3,2,8,Blocked
1,Student,4,1,8,Allowed
1,Student,2,5,9,Blocked
1,Student,6,1,5,Allowed
0,Guest,19,0,8,Blocked
0,Guest,10,6,10,Blocked
1,Student,9,1,9,Allowed
0,Faculty,1,0,8,Blocked
1,Student,19,0,4,Allowed
1,Guest,11,4,5,Blocked
0,Faculty,8,1,8,Blocked
1,Guest,20,2,6,Restricted
1,Faculty,3,6,10,Blocked
1,Faculty,10,4,9,Blocked
1,Faculty,18,3,9,Blocked
0,Faculty,12,7,9,Blocked
0,Student,18,2,6,Blocked
1,Student,12,1,4,Allowed
1,Student,15,1,3,Allowed
0,Faculty,11,3,7,Blocked
0,Faculty,11,0,4,Blocked
0,Guest,22,1,1,Blocked
1,Faculty,3,2,1,Blocked
1,Guest,11,1,9,Restricted
0,Guest,8,0,3,Blocked
1,Student,4,0,4,Restricted
1,Student,14,5,5,Blocked
1,Guest,4,6,6,Blocked
0,Guest,22,5,5,Blocked
0,Guest,9,6,5,Blocked
1,Faculty,10,3,6,Blocked
0,Student,15,4,4,Blocked
0,Faculty,16,5,5,Blocked
1,Guest,7,7,4,Blocked
1,Guest,15,1,7,Restricted
0,Faculty,6,4,4,Blocked
0,Guest,3,3,4,Blocked
1,Guest,5,2,10,Blocked
0,Student,3,2,3,Blocked
1,Student,14,7,5,Blocked
0,Guest,6,0,7,Blocked
0,Guest,20,6,6,Blocked
1,Guest,3,7,2,Blocked
1,Guest,1,2,5,Blocked
1,Faculty,16,7,2,Blocked
0,Student,14,4,9,Blocked
0,Student,8,7,2,Blocked
1,Guest,22,0,1,Allowed
1,Faculty,22,5,5,Blocked
0,Faculty,23,5,5,Blocked
0,Faculty,2,5,1,Blocked
0,Guest,23,6,8,Blocked
1,Student,3,0,8,Restricted
0,Guest,11,3,10,Blocked
0,Guest,20,7,6,Blocked
0,Student,1,6,4,Blocked
0,Guest,0,4,5,Blocked
1,Faculty,2,2,7,Blocked
1,Guest,13,4,1,Blocked
1,Faculty,3,6,3,Blocked
0,Student,4,5,2,Blocked
0,Guest,1,3,3,Blocked
1,Student,20,5,1,Blocked
0,Guest,13,3,3,Blocked
0,Student,14,3,1,Blocked
1,Faculty,3,2,1,Blocked
1,Guest,5,1,5,Blocked
1,Guest,7,7,1,Blocked
1,Faculty,21,4,4,Blocked
1,Student,2,5,9,Blocked
1,Faculty,20,2,5,Restricted
0,Student,6,3,1,Blocked
1,Faculty,13,4,8,Blocked
0,Guest,15,6,8,Blocked
0,Student,16,0,7,Blocked
0,Guest,10,1,6,Blocked
0,Guest,6,3,7,Blocked
0,Guest,21,5,7,Blocked
1,Guest,19,0,9,Allowed
1,Guest,0,1,5,Blocked
1,Student,6,2,10,Restricted
0,Faculty,9,1,6,Blocked
0,Guest,3,4,3,Blocked
1,Student,21,6,3,Blocked
0,Student,23,6,2,Blocked
1,Faculty,11,4,9,Blocked
0,Guest,11,5,6,Blocked
1,Guest,17,4,3,Blocked
0,Guest,7,7,8,Blocked
0,Student,3,2,7,Blocked
1,Student,17,5,9,Blocked
1,Guest,14,1,1,Restricted
0,Student,0,1,6,Blocked
1,Student,11,5,1,Blocked
0,Guest,7,5,1,Blocked
1,Guest,19,4,6,Blocked
1,Student,17,2,2,Restricted
0,Faculty,7,0,8,Blocked
1,Faculty,11,6,3,Blocked
1,Guest,2,1,10,Blocked
0,Student,1,5,4,Blocked
0,Faculty,16,7,8,Blocked
0,Guest,22,4,7,Blocked
1,Faculty,20,0,5,Allowed
0,Faculty,21,5,4,Blocked
1,Student,23,4,1,Blocked
0,Faculty,23,1,2,Blocked
0,Student,16,3,6,Blocked
0,Faculty,18,7,7,Blocked
1,Faculty,12,6,3,Blocked
1,Faculty,15,7,4,Blocked
1,Student,12,0,2,Allowed
0,Faculty,23,7,3,Blocked
0,Faculty,4,5,9,Blocked
0,Student,13,7,3,Blocked
1,Faculty,18,7,2,Blocked
0,Student,17,6,10,Blocked
0,Faculty,1,6,4,Blocked
1,Student,12,7,8,Blocked
1,Faculty,18,0,7,Allowed
1,Student,5,3,3,Blocked
0,Student,12,1,8,Blocked
1,Faculty,19,2,6,Restricted
1,Faculty,21,4,10,Blocked
0,Faculty,13,3,9,Blocked
0,Faculty,15,3,5,Blocked
1,Student,9,0,10,Allowed
1,Guest,5,1,2,Blocked
1,Faculty,14,2,6,Restricted
0,Faculty,20,1,1,Blocked
0,Guest,20,1,6,Blocked
0,Faculty,0,3,6,Blocked
0,Student,10,1,2,Blocked
0,Student,1,3,10,Blocked
0,Faculty,18,0,5,Blocked
1,Faculty,12,3,5,Blocked
1,Faculty,5,4,10,Blocked
0,Faculty,4,3,1,Blocked
0,Guest,14,7,4,Blocked
0,Faculty,13,0,5,Blocked
0,Faculty,14,1,7,Blocked
0,Faculty,23,4,5,Blocked
0,Student,5,6,9,Blocked
0,Guest,5,2,1,Blocked
1,Student,8,7,3,Blocked
0,Student,18,7,10,Blocked
1,Faculty,6,2,4,Restricted
1,Faculty,8,1,10,Allowed
1,Student,9,0,2,Allowed
0,Student,8,4,9,Blocked
0,Faculty,21,5,10,Blocked
1,Student,11,3,9,Blocked
1,Guest,9,2,1,Restricted
1,Guest,3,3,9,Blocked
0,Student,3,7,5,Blocked
0,Faculty,22,2,4,Blocked
1,Faculty,15,7,2,Blocked
0,Student,0,7,4,Blocked
1,Guest,12,4,5,Blocked
0,Student,1,1,5,Blocked
0,Student,10,3,7,Blocked
0,Student,21,6,2,Blocked
0,Student,1,5,7,Blocked
0,Student,15,5,9,Blocked
1,Guest,11,3,7,Blocked
1,Faculty,23,5,9,Blocked
1,Faculty,9,4,2,Blocked
1,Student,6,0,1,Allowed
0,Faculty,9,2,4,Blocked
1,Guest,10,6,5,Blocked
0,Faculty,11,4,4,Blocked
0,Faculty,12,0,2,Blocked
0,Student,20,7,1,Blocked
1,Student,12,5,9,Blocked
0,Faculty,20,2,5,Blocked
1,Guest,8,1,6,Allowed
0,Student,0,5,8,Blocked
1,Faculty,2,6,4,Blocked
1,Guest,8,3,5,Blocked
0,Faculty,13,7,9,Blocked
0,Student,9,3,8,Blocked
1,Guest,15,6,1,Blocked
0,Student,3,1,5,Blocked
0,Guest,7,7,6,Blocked
0,Faculty,12,5,8,Blocked
0,Student,15,7,7,Blocked
1,Guest,6,0,1,Allowed
1,Faculty,8,4,2,Blocked
1,Guest,18,7,9,Blocked
0,Guest,22,2,6,Blocked
0,Faculty,23,6,6,Blocked
1,Faculty,15,1,2,Allowed
1,Guest,2,7,9,Blocked
0,Faculty,3,5,3,Blocked
1,Faculty,5,1,10,Allowed
1,Guest,11,1,1,Restricted
1,Guest,10,7,7,Blocked
1,Guest,15,2,4,Restricted
1,Faculty,21,4,7,Blocked
1,Guest,16,3,9,Blocked
0,Faculty,18,7,10,Blocked
0,Student,0,4,4,Blocked
0,Faculty,21,1,1,Blocked
0,Faculty,23,4,9,Blocked
1,Student,1,4,7,Blocked
0,Student,12,6,9,Blocked
1,Guest,5,7,8,Blocked
1,Student,4,7,6,Blocked
1,Faculty,4,7,6,Blocked
1,Faculty,21,2,9,Restricted
1,Student,21,0,4,Allowed
0,Guest,17,6,7,Blocked
1,Guest,19,4,2,Blocked
0,Guest,2,0,4,Blocked
1,Faculty,18,2,2,Restricted
1,Faculty,19,4,6,Blocked
0,Faculty,2,3,4,Blocked
1,Guest,22,4,5,Blocked
1,Student,19,0,8,Allowed
1,Faculty,0,7,6,Blocked
1,Faculty,7,4,1,Blocked
1,Guest,4,0,9,Allowed
1,Faculty,6,2,10,Restricted
1,Guest,3,3,6,Blocked
1,Faculty,21,6,3,Blocked
1,Student,16,1,4,Allowed
1,Guest,21,2,10,Restricted
1,Faculty,11,2,9,Restricted
1,Faculty,23,3,5,Blocked
0,Student,22,3,10,Blocked
1,Student,12,2,6,Restricted
0,Faculty,5,1,7,Blocked
0,Faculty,16,5,3,Blocked
0,Student,8,6,8,Blocked
1,Faculty,18,5,5,Blocked
1,Faculty,12,0,2,Allowed
0,Faculty,20,5,9,Blocked
0,Faculty,9,6,4,Blocked
1,Faculty,16,3,2,Blocked
1,Faculty,5,3,7,Blocked
1,Student,14,3,10,Blocked
1,Guest,19,3,8,Blocked
1,Guest,1,6,3,Blocked
1,Faculty,18,0,5,Allowed
0,Faculty,8,7,5,Blocked
0,Guest,6,4,6,Blocked
0,Guest,22,4,8,Blocked
0,Guest,1,2,5,Blocked
0,Student,12,0,8,Blocked
0,Student,11,0,8,Blocked
0,Guest,9,6,10,Blocked
1,Student,15,0,7,Allowed
0,Student,13,4,7,Blocked
1,Faculty,20,6,9,Blocked
1,Student,14,0,2,Allowed
0,Student,11,4,10,Blocked
1,Faculty,22,2,8,Restricted
0,Student,6,2,3,Blocked
1,Student,14,5,8,Blocked
1,Faculty,15,3,4,Blocked
0,Faculty,19,7,9,Blocked
0,Student,16,5,3,Blocked
1,Guest,18,0,1,Allowed
0,Guest,8,3,3,Blocked
0,Student,6,5,9,Blocked
0,Student,19,5,9,Blocked
1,Guest,5,3,9,Blocked
1,Faculty,0,5,6,Blocked
0,Faculty,17,5,10,Blocked
1,Guest,7,4,1,Blocked
0,Faculty,14,0,1,Blocked
0,Student,7,0,8,Blocked
0,Guest,5,1,10,Blocked
1,Guest,6,5,4,Blocked
1,Student,14,1,8,Allowed
1,Faculty,16,3,4,Blocked
0,Student,22,4,10,Blocked
0,Faculty,1,2,2,Blocked
1,Faculty,3,2,10,Blocked
1,Guest,13,5,5,Blocked
1,Guest,17,0,1,Allowed
1,Student,2,2,8,Blocked
1,Student,14,5,4,Blocked
0,Student,6,5,3,Blocked
1,Student,10,7,1,Blocked
0,Student,2,3,7,Blocked
0,Faculty,19,2,9,Blocked
1,Student,14,4,9,Blocked
0,Faculty,0,4,3,Blocked
1,Guest,18,4,8,Blocked
1,Student,7,2,10,Restricted
1,Student,3,1,3,Allowed
1,Student,3,1,10,Allowed
1,Faculty,8,6,8,Blocked
0,Student,21,1,5,Blocked
1,Student,16,4,10,Blocked
1,Faculty,5,2,1,Restricted
0,Student,1,5,7,Blocked
1,Faculty,2,3,1,Blocked
0,Student,12,4,9,Blocked
1,Faculty,3,5,6,Blocked
0,Student,11,6,4,Blocked
1,Student,21,4,9,Blocked
0,Guest,6,4,9,Blocked
1,Student,11,3,1,Blocked
0,Guest,15,3,8,Blocked
1,Faculty,2,1,7,Allowed
1,Student,16,1,8,Allowed
0,Student,18,3,5,Blocked
1,Student,16,6,4,Blocked
1,Student,4,1,2,Allowed
0,Faculty,2,0,6,Blocked
1,Student,9,7,1,Blocked
1,Faculty,5,0,8,Restricted
1,Guest,16,1,10,Restricted
1,Student,3,0,8,Restricted
1,Faculty,11,4,10,Blocked
0,Faculty,17,1,4,Blocked
